Marker / msgid;Default msgstr / Beschreibung
mo:AliasRow.alias_edit;Alias, e.g. baz.ico
mo:AliasRow.dir_edit;dir edit
mo:AliasRow.label;label
mo:amiga_cpu_combo;680x0-CPU-Profil für den Amiga-Assembler
mo:amiga_fpu_combo;amiga fpu combo
mo:archive_information_list;archive information list
mo:archive_information_tab;archive information tab
mo:ArithmeticTrainerWidget.check_button;Prüfen
mo:ArithmeticTrainerWidget.help_label;help label
mo:ArithmeticTrainerWidget.status_label;Wähle ein Spiel aus.
mo:ArithmeticTrainerWidget.task_widget;task widget
mo:ArithmeticTrainerWidget.title_label;Mathematik-Spiel
mo:assemble_button;Assemble
mo:assemble_generated_button;Assemble
mo:assembler_action_panel;assembler action panel
mo:assembler_completion_description;assembler completion description
mo:assembler_completion_frame;assembler completion frame
mo:assembler_completion_ghost;assembler completion ghost
mo:assembler_completion_header;assembler completion header
mo:assembler_instruction_help_current;assembler instruction help current
mo:assembler_instruction_help_description;assembler instruction help description
mo:assembler_instruction_help_frame;assembler instruction help frame
mo:assembler_instruction_help_header;assembler instruction help header
mo:assembler_number_calculator;Rechner für Assembler-Operand
mo:assembly_status_label;Noch nicht assembliert
mo:breadcrumb_folder_button;Vollständigen Verzeichnispfad bearbeiten
mo:breadcrumb_subdir_button;Unterverzeichnisse anzeigen
mo:build_target_combo;Compiler-/Assemblerziel auswählen
mo:c64_character_editor_dialog;C64 Character-Editor
mo:c64_palette_editor_dialog;C64 Paletten-Editor
mo:c64_pixel_screen_canvas;c64 pixel screen canvas
mo:c64_pixel_screen_editor_dialog;C64 Pixel-Bildschirm-Editor
mo:c64_text_screen_canvas;c64 text screen canvas
mo:c64_text_screen_editor_dialog;C64 Text-Bildschirm-Editor
mo:C64CharacterEditorDialog.background_combo;background combo
mo:C64CharacterEditorDialog.byte_label;byte label
mo:C64CharacterEditorDialog.character_heading;character heading
mo:C64CharacterEditorDialog.character_list;character list
mo:C64CharacterEditorDialog.clear_button;Leeren
mo:C64CharacterEditorDialog.close_button;Schließen
mo:C64CharacterEditorDialog.code_input;Zeichen anspringen: $01, 0x41 oder 65
mo:C64CharacterEditorDialog.copy_button;Zeichen kopieren
mo:C64CharacterEditorDialog.foreground_combo;foreground combo
mo:C64CharacterEditorDialog.invert_button;Invertieren
mo:C64CharacterEditorDialog.jump_button;Gehe zu
mo:C64CharacterEditorDialog.load_button;Laden …
mo:C64CharacterEditorDialog.mirror_h_button;Horizontal spiegeln
mo:C64CharacterEditorDialog.mirror_v_button;Vertikal spiegeln
mo:C64CharacterEditorDialog.new_button;Neu
mo:C64CharacterEditorDialog.next_button;▶
mo:C64CharacterEditorDialog.output_format_box;Ausgabe Format
mo:C64CharacterEditorDialog.output_save_as_button;Quellcode speichern unter...
mo:C64CharacterEditorDialog.paste_button;Zeichen einfügen
